Name,Code,Ks,P / E,FRV,泡沫程度
鈺太,6679,0.046,21.74,256.75,1.521
台泥,1101,0.071,14.08,62.94,0.818
亞泥,1102,0.073,13.70,71.24,0.717
環泥,1104,0.063,15.87,34.60,0.665
信大,1109,0.071,14.08,52.10,0.486
順達,3211,0.060,16.67,127.19,0.829
訊芯-KY,6451,0.052,19.23,173.26,0.673
力旺,3529,0.047,21.28,272.81,4.545
雙鴻,3324,0.064,15.63,224.76,0.790
奇鋐,3017,0.056,17.86,112.70,0.665
泰碩,3338,0.048,20.83,50.41,1.059
華邦電,2344,0.058,17.24,42.24,0.830
