Name,Code,Ks,P / E,FRV,泡沫程度
健和興,3003,0.048,20.83,105.61,0.809
康普,4739,0.058,17.24,67.41,1.254
嘉聯益,6153,0.073,13.70,25.76,1.107
健鼎,3044,0.060,16.67,200.37,0.661
豐泰,9910,0.047,21.28,190.24,1.172
百和,9938,0.055,18.18,146.17,0.688
嘉威,3557,0.093,10.75,120.19,0.716
緯穎,6669,0.058,17.24,916.65,1.085
訊連,5203,0.046,21.74,54.78,1.535
敦泰,3545,0.046,21.74,437.63,0.496
圓展,3669,0.051,19.61,193.35,0.425
英業達,2356,0.048,20.83,51.24,0.537
大田,8924,0.050,20.00,280.60,0.552
敦陽,2480,0.047,21.28,117.25,0.577
久元,6261,0.047,21.28,147.47,0.587
玉晶光,3406,0.066,15.15,362.69,1.505
永豐實,6790,0.074,13.51,101.05,0.761
