Name,Code,Ks,P / E,FRV,泡沫程度
泰博,4736,0.075,13.33,277.26,0.839
同致,3552,0.056,17.86,154.31,1.442
耕興,6146,0.046,21.74,226.75,1.050
國巨,2327,0.075,13.33,566.66,0.953
凱美,2375,0.048,20.83,128.52,0.910
聚鼎,6224,0.047,21.28,136.19,0.988
雙鴻,3324,0.058,17.24,245.67,0.794
晶技,3042,0.049,20.41,160.63,0.753
華擎,3515,0.050,20.00,348.80,0.578
亞德客-KY,1590,0.053,18.87,648.37,1.522
生達,1720,0.062,16.13,73.39,0.540
敦泰,3545,0.046,21.74,426.76,0.521
台積電,2330,0.053,18.87,528.36,1.141
健和興,3003,0.048,20.83,100.40,0.812
緯創,3231,0.060,16.67,61.68,0.497
威鋒,6756,0.050,20.00,190.60,1.867
乙盛-KY,5243,0.046,21.74,79.13,0.864
中鴻,2014,0.064,15.63,56.89,0.879
