Name,Code,Ks,P / E,FRV,泡沫程度
智原,3035,0.047,21.28,71.29,1.494
統振,6170,0.053,18.87,42.46,0.891
和潤,6592,0.046,21.74,133.05,0.677
南寶,4766,0.058,17.24,188.78,0.824
台驊,2636,0.048,20.83,460.34,0.642
英業達,2356,0.048,20.83,51.24,0.536
巨大,9921,0.051,19.61,336.51,0.897
群聯,8299,0.052,19.23,657.86,0.755
華邦電,2344,0.058,17.24,44.82,0.804
巧新,1563,0.078,12.82,26.54,2.362
宏碁,2353,0.047,21.28,76.40,0.373
玉晶光,3406,0.059,16.95,404.09,1.485
