,func,url,url_f
48,線上補件,/TSB/personal/loan/credit/additional-modal/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/additional-modal/
49,線上查詢,/TSB/personal/loan/credit/check-online/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/check-online/
50,股票質借貸款,/TSB/personal/loan/stock-fund/stock/,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/stock/
51,特定金錢信託受益權質借貸款,/TSB/personal/loan/stock-fund/money/,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/money/
52,現金卡,/TSB/personal/loan/stock-fund/card/story-cash-card-product-features/,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/card/story-cash-card-product-features/
53,基金介紹,/TSB/personal/investment/fund/fund/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/fund/
54,基金搜尋/淨值查詢,/TSB/personal/investment/fund/found-search/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/found-search/
55,上選基金,/TSB/personal/investment/fund/selective-found/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/selective-found/
56,基金公告,/TSB/personal/investment/fund/found-news/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/found-news/
57,集合管理帳戶,/TSB/personal/investment/fund/money-manage/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/money-manage/
58,海外債券,/TSB/personal/investment/offshore-bond/offshore-bond/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/offshore-bond/
59,外國ETF,/TSB/personal/investment/offshore-bond/foreign-ETF/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/foreign-ETF/
60,外國股票,/TSB/personal/investment/offshore-bond/foreign-stock/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/foreign-stock/
61,其他外國有價證券,/TSB/personal/investment/offshore-bond/other-offshore-bond/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/other-offshore-bond/
62,市場資訊,/TSB/personal/investment/offshore-bond/market-info/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/market-info/
63,產品總覽/淨值查詢,/TSB/personal/investment/offshore-bond/product-overview_net-search/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/product-overview_net-search/
64,外國ETF通路報酬揭露,/TSB/personal/investment/offshore-bond/etf-pay-messag/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/etf-pay-messag/
65,境外結構型商品,/TSB/personal/investment/structure/offshore-structured-products/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/offshore-structured-products/
66,境內結構型商品(銀行發行),/TSB/personal/investment/structure/structured-products-bank-issue/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/structured-products-bank-issue/
67,境內結構型商品(證券發行),/TSB/personal/investment/structure/structured-products-securities-issuance/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/structured-products-securities-issuance/
68,衍生性商品,/TSB/personal/investment/more-invest-products/financial-derivatives/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/financial-derivatives/
